1653 1652 0:68 /0/Android/data /mnt/user/0/emulated/0/Android/data rw,nosuid,nodev,noexec,noatime master:38 - sdcardfs /data/media rw,fsuid=1023,fsgid=1023,gid=1015,multiuser,mask=6,derive_gid,default_normal,unshared_obb
1654 1652 0:68 /0/Android/obb /mnt/user/0/emulated/0/Android/obb rw,nosuid,nodev,noexec,noatime master:38 - sdcardfs /data/media rw,fsuid=1023,fsgid=1023,gid=1015,multiuser,mask=6,derive_gid,default_normal,unshared_obb
1655 1632 0:68 / /mnt/pass_through/0/emulated rw,nosuid,nodev,noexec,noatime master:38 - sdcardfs /data/media rw,fsuid=1023,fsgid=1023,gid=9997,multiuser,mask=7,derive_gid,default_normal,unshared_obb
1656 1612 259:3 / /metadata rw,nosuid,nodev,noatime master:8 - ext4 /dev/block/platform/bootdevice/by-name/md_udc rw,seclabel,discard,data=ordered
1657 1612 253:4 / /vendor ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341538 1657 0:36 /vendor/firmware /vendor/firmware rw,relatime - tmpfs KSU rw,seclabel,size=3892960k,nr_inodes=973240
341539 341538 253:4 /firmware/soc1_0_ram_wifi_2a_1_hdr.bin /vendor/firmware/soc1_0_ram_wifi_2a_1_hdr.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341540 341538 253:4 /firmware/aw87xxx_pid_5a_voice_0.bin /vendor/firmware/aw87xxx_pid_5a_voice_0.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341541 341538 253:4 /firmware/fm_cust.cfg /vendor/firmware/fm_cust.cfg ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341542 341538 253:4 /firmware/gt9886_cfg_6781v01.bin /vendor/firmware/gt9886_cfg_6781v01.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341543 341538 253:4 /firmware/gt9886_firmware_6885v01.bin /vendor/firmware/gt9886_firmware_6885v01.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341544 341538 253:4 /firmware/gt9886_firmware_6885b1.bin /vendor/firmware/gt9886_firmware_6885b1.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341545 341538 253:4 /firmware/gt9886_firmware_6853v01.bin /vendor/firmware/gt9886_firmware_6853v01.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341546 341538 253:4 /firmware/aw8622_low_f0_need_setup_Q_cfg.bin /vendor/firmware/aw8622_low_f0_need_setup_Q_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341547 341538 253:4 /firmware/BT_FW.cfg /vendor/firmware/BT_FW.cfg ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341548 341538 253:4 /firmware/aw87xxx_pid_59_music_1.bin /vendor/firmware/aw87xxx_pid_59_music_1.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341549 341538 253:4 /firmware/gt9886_firmware_6885b0.bin /vendor/firmware/gt9886_firmware_6885b0.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
